Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Switzerland,0.0,-3.8589544802010516,-6.795282863079001,-8.785193160548637,-8.437399771320608,-9.996209016750864,-11.81229444995683,-10.692206409354137,-10.443312427017986,-9.541195779322564,-9.611567584370146,-5.522347892468187,-4.234193749377021,-5.319679009711572,-6.751938378956175,-6.386817454102074,-7.102700941733418,-6.687360806570182,-8.406631695744183,-6.333335464328502,-7.402186756997985,-7.022337455534891,-5.011085924931208,-3.566739940642222,-3.366181466029635,-1.661794993800267,-1.5826064849806702,-2.5679028701771633,-3.7494869865894183,-2.2760989830799607,-3.597823360385161,-0.430075153050484,-2.107825655874073,-5.0365011812481235,-5.021725628319559
Ireland,0.0,0.8922521654718398,1.9658647276310341,5.463516084204103,3.7560036823462055,2.9974126247217634,4.728322545213912,10.159956786977146,13.160850326575243,13.877106676568026,10.350160596289774,9.668291495285969,6.0995078152412345,5.696517632823202,7.1612365735335315,8.946954167829576,5.652999436921092,3.699964019401535,4.108872449318971,19.57200211565617,21.197189016624076,16.48890803444802,13.567088579480277,10.470284202640414,9.3260329202337,9.659276999801941,11.071824575735038,12.01489149818294,13.036932169624615,13.748945503177664,15.874884770144357,12.148625810213614,0.19239947345538938,-8.362614781168642,-10.521843904553698
Japan,0.0,-1.8628875569474326,-3.428657213088833,-5.346944452680052,-5.063686734755757,-3.792283491877832,-3.531281204210658,-4.83996585240588,-6.940285817944121,-7.506497995701553,-5.972841991115452,-6.437137127395329,-7.538330084196415,-7.060347950924919,-5.943478639104506,-3.30953103578469,-3.884460671779963,-3.6206205597665275,-5.358767316011344,-5.27579607067336,-4.87798588194583,-4.152251245832392,-4.055320109771599,-3.813761873241094,-7.220771209378516,-8.493989918960118,-7.38188208336341,-7.758825469828305,-7.14518339838537,-6.677281177074209,-7.358910648038493,-6.363060859115575,-9.858519528474252,-14.934694823726602,-16.7427318761428
Sweden,0.0,-12.980197869390809,-12.334884343335178,-17.389489179916005,-17.149741521040063,-18.93331839436901,-14.578445082985366,-11.760889669038663,-8.607789188351491,-7.1192018397761165,-5.001384109712926,-6.1390703298613385,-6.9008321593719115,-7.8981928348684445,-5.213112589465473,-3.28229298451252,-1.9077583383832906,-0.8070287121986226,-2.2660732668275565,-1.4490531293782323,-1.381894547398092,-2.7474946332699712,-1.5682374739656482,-0.4260722562755957,0.8645567524450006,2.415176974050215,3.0032375954969766,1.7473917386910465,0.29600760480674193,-0.4216050712642673,0.34584799241388997,0.575844849764405,-9.686703644786371,-18.871634160039168,-19.295796276915507
Norway,0.0,-2.253716344669207,-3.256789154931078,-4.518783197015528,-3.8942836364699,-5.326029524686573,-3.716885580258664,-4.05334942132056,-2.7150017456353113,-1.898118783665747,-3.997201200022245,-4.191100349141576,-1.8954271848948347,-3.013549789244811,-0.20036475124586206,1.1331290438093917,2.7760005454731296,6.5794424711930475,4.883132792579804,3.7007373159771504,2.5789823236426828,4.837237778627099,6.950352074349038,6.8744378971048095,5.209510767921286,3.487947716032301,-1.6783723998861992,-3.7302917891010328,-5.872752421533927,-6.21519110000268,-7.145090462904983,-7.85043934797538,-13.481919092063047,-18.90912228021181,-21.552638215162496
France,0.0,-1.9915852785090595,-3.1773159400338433,-4.085914653136897,-5.253852633003142,-5.545954612879997,-7.10371336639954,-7.186469401545284,-6.361997603668078,-4.811716968171554,-5.933871329364745,-6.864361691253605,-6.155965397376807,-7.335108229771476,-7.7995817135749625,-8.289717206596453,-8.793336098912159,-9.80208627641637,-12.437481367961825,-9.732289633436372,-9.298272111708936,-11.333148215177959,-12.466728897983126,-12.472786529147678,-12.312426907101768,-11.518464795126128,-10.666585300887663,-10.353700723643012,-12.095474905846949,-12.218650993537413,-16.94570868244445,-15.066142212873881,-18.942661966748368,-23.996844562338914,-24.907214477916416
Luxembourg,0.0,-0.28339464185424135,-0.7640161041009058,-2.3452083678651965,-2.8957663435929732,-4.740702102782921,-4.675522300238807,-4.1013497425601475,-4.758318120780418,-3.467349875327304,-3.3925391294418836,-5.418025110415537,-5.470229448191276,-8.004268742327191,-8.95896733571744,-10.723306084950904,-11.860516228844737,-11.513879494132963,-14.910805052807982,-12.580749809833462,-14.47506582445873,-16.83575154627473,-19.815516080291097,-20.229827639803226,-19.430598337847442,-19.362240949193176,-19.810923465333733,-20.189306515063134,-20.951467749086255,-22.145628600889967,-22.511131212909216,-20.702312554561043,-25.679876662514427,-25.804963510900787,-26.212388371656758
Denmark,0.0,-1.8202221112101216,-0.5956653876383505,-0.7441072666777208,-6.066447257913963,-6.018234941697518,-6.332739224818662,-6.825487085914579,-6.939380168319982,-8.152072368616947,-10.825224218952673,-12.32701648674708,-12.445430511975482,-12.111552030743901,-11.190742609849137,-11.281121315031863,-11.487711295849603,-11.976882008639585,-13.768220698700487,-13.431977501726514,-14.554065728324503,-17.308855805970975,-19.27176358551284,-19.37666895895451,-18.196731250709792,-17.26126520023147,-16.683200253569975,-17.129781620648128,-17.19027713774595,-17.222972476544367,-16.404929779924668,-17.410149806798238,-25.85037851794339,-27.906614501950262,-26.335950065493275
New Zealand,0.0,-6.38196083312058,-3.2364320916120146,-1.9913996559257656,-1.9743407797743924,-5.937889456603122,-6.532341641074396,-5.007046554911541,-7.7318417056663495,-8.779882567551406,-10.747156106533929,-11.382539595368351,-12.098724770072485,-10.410009200291332,-9.348884766856665,-10.532246171974448,-12.913762074304971,-9.966797905610782,-14.401061757705119,-15.150746860300233,-16.15164296737887,-19.457852296871554,-18.580989048366497,-20.57284240867095,-21.22938664679836,-20.044433583017387,-17.96971608101076,-18.907812880692788,-18.190363853569387,-17.068990010126626,-16.3349717429388,-16.063273595290458,-22.573597198125412,-26.63686340427039,-28.15996834537734
Finland,0.0,-2.9873969382608547,-7.163077131886626,-12.334428200615646,-12.049362079533495,-9.306738249788628,-7.809275682480791,-8.818132831687848,-7.702709959238144,-6.628929117993709,-7.829774167608881,-9.673951196573578,-10.593464063683534,-9.686749305285195,-0.4016826885464667,-5.509270970793895,-5.0412151291732865,-6.1290414377152675,-9.025422312938538,-8.240183457788287,-8.059800235181728,-11.071839655374058,-13.43288202260045,-15.54423959025924,-16.44475038150639,-15.614320092079051,-15.177022918488545,-16.29430901705946,-16.5792052130631,-16.232256888323317,-16.022743920168306,-14.966821852772933,-23.212220910955423,-28.55171912139675,-29.44491777013272
Canada,0.0,-4.968826564336156,-4.997206070409167,-6.938653367911393,-8.148373604762927,-10.281774506043618,-10.885505817816579,-9.622482603972088,-9.011485617652683,-9.836140867777162,-9.561671966525083,-12.152172088310383,-14.784717617734355,-17.04667678650452,-16.79964298019695,-16.250244056205215,-15.393759833227241,-14.952977963837796,-15.463672892989916,-15.16788163624548,-16.50031771155951,-17.886590627176517,-18.154659947993462,-18.05652497997558,-18.539092503544342,-18.852737879598852,-21.512146266581144,-21.489326835164572,-21.790927848296707,-22.979332727825163,-20.757489207851517,-22.98674416509966,-28.610549582350963,-31.28119539308948,-32.7656639263285
United States,0.0,-3.410945294227446,-4.0776014720534635,-7.352713259410487,-10.052213632796715,-12.010739009963498,-13.26594473484268,-13.131662585043479,-10.936778943585582,-10.547445838672521,-10.579372193840141,-12.368833112847565,-13.04322670960745,-14.05956976834282,-14.749286806627785,-17.46938488760563,-18.851560797969757,-19.60953073536266,-22.772139929579964,-21.71980159977027,-22.301917878021307,-24.577138162224045,-25.475948182973458,-26.877089991997593,-26.913118538541315,-25.130153114986392,-25.938350109294962,-26.69193883510612,-27.594873530293253,-27.602723690951407,-24.142370493345013,-26.296511005137962,-33.68111033981478,-36.115828159374445,-37.30008718325975
